Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
SelectAColor_Prompt,Select a color,,,,,,,,,,,,,
SetColor_ButtonText,Set Color,,,,,,,,,,,,,
