Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
ColorSpace_LabelText,Color Space,,,,,,,,,,,,,
HueInterpolation_LabelText,Hue Interpolation,,,,,,,,,,,,,
Precision_LabelText,Precision,,,,,,,,,,,,,
MaxKeypoints_ButtonText,Max,,,,,,,,,,,,,
Shorter_HueInterpolation,Shorter,,,,,,,,,,,,,
Longer_HueInterpolation,Longer,,,,,,,,,,,,,
Increasing_HueInterpolation,Increasing,,,,,,,,,,,,,
Decreasing_HueInterpolation,Decreasing,,,,,,,,,,,,,
Specified_HueInterpolation,Specified,,,,,,,,,,,,,
