Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
Prompt,Are you sure you want to delete {1}?,,,,,,,,,,,,,
Confirm_ButtonText,Confirm,,,,,,,,,,,,,
