Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
BlackToWhite_DefaultPaletteName,Black to White,,,,,,,,,,,,,
DefaultGradientName,New Gradient,,,,,,,,,,,,,
