Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
ColorEditor_Default,Select a color,,,,,,,,,,,,,
GradientEditor_Default,Create a gradient,,,,,,,,,,,,,
GradientPalette,Gradients,,,,,,,,,,,,,
GradientInfo,Gradient Info,,,,,,,,,,,,,
ColorProperties,Color Properties,,,,,,,,,,,,,
Settings,Settings,,,,,,,,,,,,,
