"Key","Source","Context","Example","zh-CN","zh-TW","fr","de","id","it","ja","ko","pt-PT","ru","es-ES"
"NoAPIAlert_SecondaryText_NotEditMode","Note: To use Color Properties during testing, you must have already loaded the data with the ""Cache Roblox API data"" option enabled before testing.","ColorProperties","","","","","","","","","","","",""
"NoAPIAlert_SecondaryText_EditMode","This screen will change once the data has been loaded.","ColorProperties","","","","","","","","","","","",""
"Load_ButtonText","Load","ColorProperties","","","","","","","","","불러오기","","",""
"Loading_Message","Loading...","ColorProperties","","","","","","","","","불러오는 중...","","",""
"NoSelectionColorProperties_Message","The selected object(s) do not have any color properties","ColorPropertiesList","","","","","","","","","","","",""
"SelectionColorMultipleValues_Indicator","(Multiple)","ColorPropertiesList","","","","","","","","","(배수)","","",""
"CompareTo_Label","Compare to","ColorSorter","","","","","","","","","","","",""
"EmptySortAnchor_Indicator","(None)","ColorSorter","","","","","","","","","","","",""
"Sort_ButtonText","Sort","ColorSorter","","","","","","","","","","","",""
"ColorInformation_Page","Color Information","ColorToolPages","","","","","","","","","색상 정보","","",""
"ColorSorter_Page","Color Sorter","ColorToolPages","","","","","","","","","","","",""
"ColorVariations_Page","Color Variations","ColorToolPages","","","","","","","","","","","",""
"GradientPickers_Page","Gradient Pickers","ColorToolPages","","","","","","","","","","","",""
"Hues_Label","Hues","ColorVariations","","","","","","","","","","","",""
"Shades_Label","Shades","ColorVariations","","","","","","","","","","","",""
"Tints_Label","Tints","ColorVariations","","","","","","","","","","","",""
"Tones_Label","Tones","ColorVariations","","","","","","","","","","","",""
"ColorSteps_Label","Color Steps","ColorVariations","","","","","","","","","","","",""
"ExportScriptInjection_Warning","Make sure that you have allowed script injection in order to export ModuleScripts.","ExportPalette","","","","","","","","","","","",""
"Export_ButtonText","Export","ExportPalette","","","","","","","","","내보내기","","",""
"ExportDestination_Message","The palette will be exported to ServerStorage as:
{1}.palette","ExportPalette","","","","","","","","","","","",""
"ModuleScriptExportFailure_Message","The ModuleScript palette export for {1} failed, most likely because script injection was denied.","ExportPalette","","","","","","","","","","","",""
"ModuleScriptExport_Label","ColorPane Palette Export","ExportPalette","","","","","","","","","ColorPane 팔레트 내보내기","","",""
"FirstTimeSetup_Prompt","Before using ColorPane for the first time, you will be prompted to allow script injection.

This permission is necessary for exporting palettes to ModuleScripts and making the ColorPane API available for other plugins to use.","FirstTimeSetup","","","","","","","","","","","",""
"FirstTimeSetup_Confirm_ButtonText","I understand","FirstTimeSetup","","","","","","","","","이해했습니다","","",""
"SnapInput_Label","Snap","GradientEditor","","","","","","","","","","","",""
"KeypointReadout_Label","{1:int}/{2:int} Keypoints","GradientEditor","","","","","","","","","","","",""
"Reset_ButtonText","Reset","GradientEditor","","","","","","","","","재설정","","",""
"ColorSpace_Label","Color Space","GradientInfo","","","","","","","","","색 영역","","",""
"HueInterpolation_Label","Hue Interpolation","GradientInfo","","","","","","","","","","","",""
"Precision_Label","Precision","GradientInfo","","","","","","","","","","","",""
"MaxKeypoints_ButtonText","Max","GradientInfo","","","","","","","","","","","",""
"Shorter_HueInterpolation","Shorter","GradientInfo","","","","","","","","","","","",""
"Longer_HueInterpolation","Longer","GradientInfo","","","","","","","","","","","",""
"Increasing_HueInterpolation","Increasing","GradientInfo","","","","","","","","","","","",""
"Decreasing_HueInterpolation","Decreasing","GradientInfo","","","","","","","","","","","",""
"Specified_HueInterpolation","Specified","GradientInfo","","","","","","","","","","","",""
"BlackToWhite_BuiltInGradientName","Black to White","GradientPalette","","","","","","","","","","","",""
"Hue_BuiltInGradientName","Hue","GradientPalette","","","","","","","","","","","",""
"DefaultGradientName","New Gradient","GradientPalette","","","","Nouveau dégradé","","","","","","","",""
"GreyscaleSlider_Brightness_Label","Brightness","GreyscaleSliderPage","","","","Luminosité","","","","","밝기","","",""
"JSONFile_ImportType","JSON file","ImportPalette","","","","Fichier JSON","","","","","JSON 파일","","",""
"URL_ImportType","URL","ImportPalette","","","","URL","","","","","URL","","",""
"SelectObject_Prompt","Select a {1} from the Explorer","ImportPalette","","","","Sélectionnez un {1} dans l'explorateur","","","","","","","",""
"WaitingForImport_Message","Waiting for import…","ImportPalette","","","","Veuillez patienter pendant l'importation...","","","","","","","",""
"URL_InputText","Type or paste a URL here","ImportPalette","","","","Saisir ou coller une adresse URL ici","","","","","","","",""
"RetrieveURL_ButtonText","Retrieve URL","ImportPalette","","","","Récupérer l'URL","","","","","","","",""
"UseSelection_ButtonText","Use selection","ImportPalette","","","","Utiliser la sélection","","","","","","","",""
"SelectAFile_ButtonText","Select a file","ImportPalette","","","","Sélectionner un fichier","","","","","파일 선택","","",""
"ValidImport_Message","The {1} contains a valid palette","ImportPalette","","","","Le {1} contient une palette valide","","","","","","","",""
"InvalidSelection_Message","The selected object is not a {1}","ImportPalette","","","","","","","","","","","",""
"Import_ButtonText","Import","ImportPalette","","","","","","","","","가져오기","","",""
"EmptySelection_Message","At least one object should be selected","ImportPalette","","","","","","","","","","","",""
"MultipleSelections_Message","Only one object should be selected","ImportPalette","","","","","","","","","","","",""
"NonConformantPalette_Message","Palette format check failed: {1}","ImportPalette","","","","","","","","","","","",""
"NamePalette_Prompt","Name the Palette","NamePalette","","","","","","","","","팔레트 이름","","",""
"PaletteRename_Message","The palette will be renamed to: {1}","NamePalette","","","","","","","","","","","",""
"RenamePalette_Prompt","Rename {1}","NamePalette","","","","","","","","","{1} 이름 변경","","",""
"PaletteNameOK_Message","The palette name is OK","NamePalette","","","","","","","","","팔레트 이름이 적절합니다","","",""
"DefaultPaletteName","New Palette","NamePalette","","","","","","","","","새로운 팔레트","","",""
"SelectAColor_Prompt","Select a color","PaletteColorGrid","","","","","","","","","색상 선택","","",""
"SetColor_ButtonText","Set Color","PaletteColorGrid","","","","","","","","","","","",""
"BuiltInPalette_Category","Built-In Palettes","PalettePages","","","","","","","","","","","",""
"UserPalette_Category","User Palettes","PalettePages","","","","","","","","","","","",""
"CreatePalette_ButtonText","Create a New Palette","PalettePages","","","","","","","","","새 팔레트 생성","","",""
"ImportPalette_ButtonText","Import a Palette","PalettePages","","","","","","","","","팔레트 가져오기","","",""
"ExportPalette_ButtonText","Export this Palette","PalettePages","","","","","","","","","팔레트 내보내기","","",""
"DuplicatePalette_ButtonText","Duplicate this Palette","PalettePages","","","","","","","","","이 팔레트 복","","",""
"RenamePalette_ButtonText","Rename this Palette","PalettePages","","","","","","","","","팔레트 이름 변경","","",""
"DeletePalette_ButtonText","Delete this Palette","PalettePages","","","","","","","","","팔레트 삭제","","",""
"SearchHistory_Label","History","PicularPalette","","","","","","","","","기록","","",""
"ColorList_Label","Colors","PicularPalette","","","","","","","","","","","",""
"PicularPaletteFetchFailure_Message","There was a problem fetching the palette:
{1}","PicularPalette","","","","","","","","","","","",""
"DeletePalette_Prompt","Are you sure you want to delete {1}?","RemovePalette","","","","","","","","","","","",""
"DeletePalette_Confirm_ButtonText","Confirm","RemovePalette","","","","","","","","","확인","","",""
"AutoLoadColorProperties_SettingDescription","Automatically load the Roblox API data for Color Properties on startup","Settings","","","","","","","","","","","",""
"AutoSave_SettingDescription","Auto-save settings and palettes","Settings","","","","","","","","","","","",""
"AutoSaveInterval_SettingDescription","Auto-save interval","Settings","","","","","","","","","자동 저장 시간 간격","","",""
"CacheAPIData_SettingDescription","Cache Roblox API data for use during testing sessions","Settings","","","","","","","","","","","",""
"AutoCheckForUpdate_SettingDescription","Periodically check for updates","Settings","","","","","","","","","","","",""
"AskNameBeforePaletteCreation_SettingDescription","Name palettes before creating them","Settings","","","","","","","","","팔레트를 생성하기 전 이름을 지정하세요","","",""
"ClaimSessionLock_ButtonText","Claim Session Lock","Settings","","","","","","","","","","","",""
"SessionLockClaimed_Message","Session lock has been claimed","Settings","","","","","","","","","","","",""
"Monochrome_Slider","Monochrome","SliderPages","","","","","","","","","흑백","","",""
"Presets_Label","Presets","TemperatureSliderPage","","","","","","","","","프리셋","","",""
"MatchFlame_Preset","Match Flame","TemperatureSliderPage","","","","","","","","","","","",""
"Candlelight_Preset","Candlelight","TemperatureSliderPage","","","","","","","","","","","",""
"Incandescent_Preset","Incandescent","TemperatureSliderPage","","","","","","","","","","","",""
"SoftWhiteIncandescent_Preset","Soft White Incandescent","TemperatureSliderPage","","","","","","","","","","","",""
"SoftWhite_Preset","Soft White","TemperatureSliderPage","","","","","","","","","","","",""
"WarmWhite_Preset","Warm White","TemperatureSliderPage","","","","","","","","","","","",""
"HorizonDaylight_Preset","Horizon Daylight","TemperatureSliderPage","","","","","","","","","","","",""
"Daylight_Preset","Daylight","TemperatureSliderPage","","","","","","","","","밤낮","","",""
"ClearSky_Preset","Clear Sky","TemperatureSliderPage","","","","","","","","","맑은 하늘","","",""
